route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
125,19,Klippanin yhteysvene,Klippanin yhteysvene,,4,http://www.asravintolat.fi,,
126,19,Sirpalesaaren yhteysvene,Sirpalesaaren yhteysvene,,4,http://www.asravintolat.fi,,
127,20,Merisataman lautta,Merisataman lautta,,4,https://www.hel.fi/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/vesireittiliikenne,,
128,21,Valkosaaren yhteysvene,Valkosaaren yhteysvene,,4,http://www.njk.fi,,
129,20,Merisatama-Pihlajasaari,Merisatama-Pihlajasaari,,4,https://www.hel.fi/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/vesireittiliikenne,,
130,20,Ruoholahti-Pihlajasaari,Ruoholahti-Pihlajasaari,,4,https://www.hel.fi/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/vesireittiliikenne,,
131,22,Merisatama-Sirpalesaari,Merisatama-Sirpalesaari,,4,https://www.hel.fi/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/vesireittiliikenne,,
132,23,Kauppatori-Jollas,Kauppatori-Vasikkasaari-Stansvik-Jollas,,4,http://www.citycruisers.fi,,
133,17,Vuosaari-Kaunissaari,Vuosaari-Kaunissaari,,4,http://www.norsoline.com/,,
134,1,Pentalan iltaliikenne,Soukka-Pentala,,4,https://aavalines.fi/fi_FI/categories/3-reittiliikenne/products/153-aavalines-edestakainen-matkalippu-pentalan-iltaliikenne,,
