trip_id,start_time,end_time,headway_secs
80048211,9:00:00,15:00:00,900
80048211,15:00:00,21:00:00,300
80048210,6:00:00,9:00:00,300
80048210,9:00:00,15:00:00,900
80048210,15:00:00,21:00:00,300
80048111,6:00:00,9:00:00,300
80048111,9:00:00,15:00:00,900
80048111,15:00:00,21:00:00,300
80048110,6:00:00,9:00:00,300
80048110,9:00:00,15:00:00,900
80048110,15:00:00,21:00:00,300
8048A111,6:00:00,9:00:00,300
8048A111,9:00:00,15:00:00,900
8048A111,15:00:00,21:00:00,300
8048A110,6:00:00,9:00:00,300
8048A110,9:00:00,15:00:00,900
8048A110,15:00:00,21:00:00,300
8048B111,6:00:00,9:00:00,300
8048B111,9:00:00,15:00:00,900
8048B111,15:00:00,21:00:00,300
8048B110,6:00:00,9:00:00,300
8048B110,9:00:00,15:00:00,900
8048B110,15:00:00,21:00:00,300
80105111,6:00:00,9:00:00,300
80105111,9:00:00,15:00:00,900
80105111,15:00:00,21:00:00,300
80105110,6:00:00,9:00:00,300
80105110,9:00:00,15:00:00,900
80105110,15:00:00,21:00:00,300
80114111,6:00:00,9:00:00,300
80114111,9:00:00,15:00:00,900
80114111,15:00:00,21:00:00,300
80114110,6:00:00,9:00:00,300
80114110,9:00:00,15:00:00,900
80114110,15:00:00,21:00:00,300
80115111,6:00:00,9:00:00,300
80115111,9:00:00,15:00:00,900
80115111,15:00:00,21:00:00,300
80115110,6:00:00,9:00:00,300
80115110,9:00:00,15:00:00,900
80115110,15:00:00,21:00:00,300
80118111,6:00:00,9:00:00,300
80118111,9:00:00,15:00:00,900
80118111,15:00:00,21:00:00,300
80118110,6:00:00,9:00:00,300
80118110,9:00:00,15:00:00,900
80118110,15:00:00,21:00:00,300
80119111,6:00:00,9:00:00,300
80119111,9:00:00,15:00:00,900
80119111,15:00:00,21:00:00,300
80119110,6:00:00,9:00:00,300
80119110,9:00:00,15:00:00,900
80119110,15:00:00,21:00:00,300
80135111,6:00:00,9:00:00,300
80135111,9:00:00,15:00:00,900
80135111,15:00:00,21:00:00,300
80135110,6:00:00,9:00:00,300
80135110,9:00:00,15:00:00,900
80135110,15:00:00,21:00:00,300
70005111,6:00:00,9:00:00,300
70005111,9:00:00,15:00:00,900
70005111,15:00:00,21:00:00,300
70005110,6:00:00,9:00:00,300
70005110,9:00:00,15:00:00,900
70005110,15:00:00,21:00:00,300
8048C111,6:00:00,9:00:00,300
8048C111,9:00:00,15:00:00,1800
8048C111,15:00:00,21:00:00,300
8048C110,6:00:00,9:00:00,300
8048C110,9:00:00,15:00:00,1800
8048C110,15:00:00,21:00:00,300
8119A111,6:00:00,9:00:00,300
8119A111,9:00:00,15:00:00,900
8119A111,15:00:00,21:00:00,300
8119A110,6:00:00,9:00:00,300
8119A110,9:00:00,15:00:00,900
8119A110,15:00:00,21:00:00,300
2017B121,6:00:00,9:00:00,300
2017B121,9:00:00,15:00:00,900
2017B121,15:00:00,21:00:00,300
2017B120,6:00:00,9:00:00,300
2017B120,9:00:00,15:00:00,900
2017B120,15:00:00,21:00:00,300
50033271,6:00:00,9:00:00,300
50033271,9:00:00,15:00:00,900
50033271,15:00:00,21:00:00,300
50033270,6:00:00,9:00:00,300
50033270,9:00:00,15:00:00,900
50033270,15:00:00,21:00:00,300
