runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
2500000,WKO00_MTWThF_20200626_20230429,U1-CC3,25,1,t_701268_b_25620_tn_0,14001491,t_701311_b_25620_tn_0,14001491
25000000,WKO00_Su_20200325_20200625,11595,250,1,t_1055592_b_25567_tn_0,14002044,t_1055622_b_25567_tn_0,14001490
25100000,WKO00_Su_20200325_20200625,11596,251,1,t_1055537_b_25567_tn_0,14004413,t_1055585_b_25567_tn_0,14001490
25200000,WKO00_Su_20200325_20200625,11597,252,1,t_1055580_b_25567_tn_0,14002376,t_1055606_b_25567_tn_0,14001490
25300000,WKO00_Su_20200325_20200625,U1-02,253,1,t_1018888_b_25567_tn_0,14002508,t_1018893_b_25567_tn_0,14003806
25400000,WKO00_Su_20200325_20200625,U1-06,254,1,t_1018882_b_25567_tn_0,14003806,t_1018887_b_25567_tn_0,14002530
25500000,WKO00_Su_20200325_20200625,U2-01 4,255,1,t_1055440_b_25567_tn_0,14002170,t_1055444_b_25567_tn_0,14002170
25600000,WKO00_Su_20200325_20200625,U2-02 2,256,1,t_1055396_b_25567_tn_0,14008105,t_1055411_b_25567_tn_0,14008105
25700000,WKO00_Su_20200325_20200625,U2-03 16,257,1,t_1055326_b_25567_tn_0,14002170,t_1055459_b_25567_tn_0,14002170
25800000,WKO00_Su_20200325_20200625,U2-04 58,258,1,t_1055673_b_25567_tn_0,14001232,t_1055654_b_25567_tn_0,14001232
25900000,WKO00_Su_20200325_20200625,U2-05 4,259,1,t_1055416_b_25567_tn_0,14002170,t_1055340_b_25567_tn_0,14002530
2600000,WKO00_MTWThF_20200626_20230429,U1-CC4,26,1,t_701341_b_25620_tn_0,14001491,t_701343_b_25620_tn_0,14003793
26000000,WKO00_Su_20200325_20200625,U2-06 5,260,1,t_1055476_b_25567_tn_0,14001487,t_1055678_b_25567_tn_0,14001232
26100000,WKO00_Su_20200325_20200625,U2-07 11,261,1,t_1055240_b_25567_tn_0,14001212,t_1055263_b_25567_tn_0,14001212
26200000,WKO00_Su_20200325_20200625,U2-08 13,262,1,t_1018918_b_25567_tn_0,14008494,t_1018920_b_25567_tn_0,14008494
26300000,WKO00_Su_20200325_20200625,U2-09 10,263,1,t_1055350_b_25567_tn_0,14002509,t_1055350_b_25567_tn_0,14002170
26400000,WKO00_Su_20200325_20200625,U2-10 58AC,264,1,t_1055655_b_25567_tn_0,14001232,t_1055679_b_25567_tn_0,14001232
26500000,WKO00_MTWThFSSu_20200421_20200427,1201,265,1,t_1077989_b_26237_tn_0,14007039,t_1077996_b_26237_tn_0,14002788
26600000,WKO00_MTWThFSSu_20200421_20200427,2201,266,1,t_1078003_b_26237_tn_0,14006842,t_1078005_b_26237_tn_0,14002601
26700000,WKO00_MTWThFSSu_20200421_20200427,U20-3,267,1,t_1077908_b_26237_tn_0,14004376,t_1077914_b_26237_tn_0,14006127
26800000,WKO00_MTWThFSSu_20200421_20200427,U22-1,268,1,t_1078071_b_26237_tn_0,14002701,t_1078078_b_26237_tn_0,14002701
26900000,WKO00_MTWThFSSu_20200421_20200427,U22-2,269,1,t_1078067_b_26237_tn_0,14002701,t_1078079_b_26237_tn_0,14002701
2700000,WKO00_MTWThF_20200626_20230429,U1-CC5,27,1,t_701352_b_25620_tn_0,14003793,t_701350_b_25620_tn_0,14003793
27000000,WKO00_MTWThFSSu_20200421_20200427,U22-3,270,1,t_1078072_b_26237_tn_0,14002701,t_1078080_b_26237_tn_0,14002701
27100000,WKO00_MTWThFSSu_20200421_20200427,U24-3,271,1,t_1078133_b_26237_tn_0,14003693,t_1078138_b_26237_tn_0,14003693
27200000,WKO00_TTh_20200428_20200624,U24-2,272,1,t_1078113_b_26238_tn_0,14002601,t_1078119_b_26238_tn_0,14002530
27300000,WKO00_MWF_20200428_20200624,U24-2,273,1,t_1078112_b_26238_tn_0,14002601,t_1078120_b_26238_tn_0,14002530
27400000,WKO00_MTWThF_20200428_20200624,1201,274,1,t_1077969_b_26238_tn_0,14002601,t_1077959_b_26238_tn_0,14002601
27500000,WKO00_MTWThF_20200428_20200624,1202,275,1,t_1077983_b_26238_tn_0,14002601,t_1077966_b_26238_tn_0,14002601
27600000,WKO00_MTWThF_20200428_20200624,2201,276,1,t_1077949_b_26238_tn_0,14007039,t_1077954_b_26238_tn_0,14002601
27700000,WKO00_MTWThF_20200428_20200624,2202,277,1,t_1077951_b_26238_tn_0,14006842,t_1077961_b_26238_tn_0,14002601
27800000,WKO00_MTWThF_20200428_20200624,2203,278,1,t_1077982_b_26238_tn_0,14002601,t_1077986_b_26238_tn_0,14002788
27900000,WKO00_MTWThF_20200428_20200624,3201,279,1,t_1077940_b_26238_tn_0,14001774,t_1077940_b_26238_tn_0,14008494
2800000,WKO00_MTWThF_20200626_20230429,U1-CC6,28,1,t_701279_b_25620_tn_0,14001491,t_701372_b_25620_tn_0,14003793
28000000,WKO00_MTWThF_20200428_20200624,3202,280,1,t_1077974_b_26238_tn_0,14002601,t_1077974_b_26238_tn_0,14006833
28100000,WKO00_MTWThF_20200428_20200624,3203,281,1,t_1077960_b_26238_tn_0,14006833,t_1077960_b_26238_tn_0,14002601
28200000,WKO00_MTWThF_20200428_20200624,3204,282,1,t_1077975_b_26238_tn_0,14008494,t_1077975_b_26238_tn_0,14001774
28300000,WKO00_MTWThF_20200428_20200624,4201,283,1,t_1077971_b_26238_tn_0,14002601,t_1077953_b_26238_tn_0,14002601
28400000,WKO00_MTWThF_20200428_20200624,4202,284,1,t_1077980_b_26238_tn_0,14002601,t_1077988_b_26238_tn_0,14007039
28500000,WKO00_MTWThF_20200428_20200624,5201,285,1,t_1077950_b_26238_tn_0,14006842,t_1077955_b_26238_tn_0,14002601
28600000,WKO00_MTWThF_20200428_20200624,5202,286,1,t_1077981_b_26238_tn_0,14002601,t_1077964_b_26238_tn_0,14002601
28700000,WKO00_MTWThF_20200428_20200624,6203,287,1,t_1077985_b_26238_tn_0,14002601,t_1077968_b_26238_tn_0,14002601
28800000,WKO00_MTWThF_20200428_20200624,U20-1,288,1,t_1077898_b_26238_tn_0,14004376,t_1077897_b_26238_tn_0,14006127
28900000,WKO00_MTWThF_20200428_20200624,U20-2,289,1,t_1077899_b_26238_tn_0,14004376,t_1077895_b_26238_tn_0,14006127
2900000,WKO00_MTWThF_20200626_20230429,U1-CC7,29,1,t_701318_b_25620_tn_0,14003793,t_701368_b_25620_tn_0,14001491
29000000,WKO00_MTWThF_20200428_20200624,U22-1,290,1,t_1078052_b_26238_tn_0,14001055,t_1078052_b_26238_tn_0,14002701
29100000,WKO00_MTWThF_20200428_20200624,U22-2,291,1,t_1078058_b_26238_tn_0,14007814,t_1078050_b_26238_tn_0,14002701
29200000,WKO00_MTWThF_20200428_20200624,U22-3,292,1,t_1078053_b_26238_tn_0,14002701,t_1078061_b_26238_tn_0,14001055
29300000,WKO00_MTWThF_20200428_20200624,U22-4,293,1,t_1078060_b_26238_tn_0,14002701,t_1078054_b_26238_tn_0,14007814
29400000,WKO00_MTWThF_20200428_20200624,U24-1,294,1,t_1078101_b_26238_tn_0,14003693,t_1078122_b_26238_tn_0,14003693
29500000,WKO00_MTWThF_20200428_20200624,U24-2,295,1,t_1078102_b_26238_tn_0,14003693,t_1078110_b_26238_tn_0,14003693
