stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
AmaBlvdNMirrorSt,Amarillo Blvd & N Mirror St (Toot N Totum),This stop is on Amarillo Blvd & East of N Mirror St in front of the Toot N Totum,35.22180918,-101.8168558,,,
rt23S11,Amarillo Blvd & Grand St (In front of Amarillo Recycling),This stop is on Amarillo Blvd & West of Grand St in front Amarillo Recycling,35.22184867,-101.7970205,,,
rt23S12,Amarillo Blvd & N Grand St (Wagon Wheel Motel),This stop is on Amarillo Blvd & East of N Grand St in front of the Wagon Wheel Motel,35.22185023,-101.7948216,,,
rt23S13,Amarillo Blvd & N Eastern St (East Amarillo Blvd Market),This stop is on Amarillo Blvd & West of N Eastern St in front of the East Amarillo Blvd Market,35.2218522,-101.7801597,,,
rt23S14,NE 24th Ave & N Eastern St (Greentree Village),This stop is on NE 24th Ave & East of N Eastern St in Greentree Village,35.23636605,-101.776765,,,
rt23S15,NE 24th Ave & Columbine St,This stop is on NE 24th Ave & East of Columbine St,35.236339,-101.767582,,,
rt23S16,NE 24th Ave & Heather St,This stop is on NE 24th Ave & West of Heather St,35.23635487,-101.7659845,,,
rt23S17,Heather St & NE 16th Ave,This stop is on Heather St & North of NE 16th Ave,35.230397,-101.764893,,,
rt23S18,Heather St & NE 12th Ave,This stop is on Heather St & North of NE 12th Ave,35.225787,-101.765910,,,
rt23S19,Amarillo Blvd & Evergreen St,This stop is on Amarillo Blvd & West of Evergreen St in front of the Blue Sky Asian Market,35.22211867,-101.7695393,,,
rt23S20,Amarillo Blvd & Fritch Hwy,This stop is on Amarillo Blvd & East of Fritch Hwy,35.222123,-101.781625,,,
rt23S21,Amarillo Blvd & N Grand St (Amarillo Offroad),This stop is on Amarillo Blvd & East of N Grand St in front of Amarillo Offroad,35.22207647,-101.7951807,,,
rt23S22,Amarillo Blvd & Ridgemere Blvd (TX Chicken Bowl),This stop is on Amarillo Blvd & West of Ridgemere Blvd in front of TX Chicken Bowl,35.22206088,-101.8029882,,,
rt23S23,Amarillo Blvd & N Philadelphia St,This stop is on Amarillo Blvd & East of Martin Rd,35.22205077,-101.8111677,,,
rt23S27,N Pierce St & NE 7th Ave,This stop is on N Pierce St & South of NE 7th Ave,35.21943505,-101.8309262,,,
rt23S28,N Pierce St & NE 4th Ave,This stop is on N Pierce St & North of NE 4th Ave,35.21664754,-101.8314799,,,
rt31S2,SE 10th Ave & S Houston St,This stop is on SE 10th Ave & East of S Houston St,35.20139237,-101.8226415,,,
rt31S3,SE 10th Ave & Ross St,This stop is on SE 10th Ave & East of Ross St,35.2003341,-101.8147339,,,
rt31S4,SE 10th Ave & Browning St,This stop is on SE 10th Ave & East of Browning St,35.20007521,-101.8070075,,,
rt31S5,SE 10th Ave & S Marrs St (Amarillo Veterinary Clinic),This stop is on SE 10th Ave & East of S Marrs St (Amarillo Veterinary Clinic),35.2000874,-101.8018837,,,
rt31S6,SE 10th Ave & S Grand St (Family Dollar),This stop is on SE 10th Ave & East of S Grand St in front of the Family Dollar,35.20009955,-101.7955499,,,
rt31S7,SE 10th Ave & S Dallas St (RMI Church),This stop is on SE 10th Ave & East of S Dallas St across from the RMI Church,35.20011917,-101.7911322,,,
rt31S8,S Bolton St & SE 16th Ave,This stop is on S Bolton St & North of SE 16th Ave,35.194815,-101.787046,,,
I40SBoltonSt,Interstate 40 & S Bolton St,This stop is on the access road of Interstate 40 & West of S Bolton St in front of the El Charro Mexican Restaurant,35.19296517,-101.7875311,,,
I40SSpringSt,Interstate 40 & S Spring St,This stop is on the access road of Interstate 40 & East of S Spring St,35.19294944,-101.7902935,,,
rt31S11,S Grand St & SE 19th Ave (Pizza Hut),This stop is on S Grand St & North of SE 19th Ave in front of Pizza Hut,35.19118836,-101.7954941,,,
rt31S12,S Grand St & SE 25th Ave,This stop is on S Grand St & South of SE 25th Ave,35.18689358,-101.7955055,,,
rt31S13,S Grand St & SE 28th Ave,This stop is on S Grand St & North of SE 28th Ave,35.1845446,-101.7955596,,,
rt31S14,SE 29th Ave & S Hill St,This stop is on SE 29th Ave & West of S Hill St,35.183103,-101.7922937,,,
rt31S15,SE 29th Ave & S Spring St,This stop is on SE 29th Ave & West of S Spring St,35.18311026,-101.790222,,,
rt31S16,SE 29th Ave & S Bolton St,This is stop is on SE 29th Ave & West of S Bolton St,35.183120,-101.787613,,,
rt31S17,S Bolton St & SE 32nd St,This stop is on S Bolton St & North of SE 32nd St,35.18057137,-101.7874658,,,
rt31S18,SE 34th Ave & S Dallas St,This stop is on SE 34th Ave & West of S Dallas St,35.17857543,-101.7913111,,,
Caprock,SE 34th Ave & S Nelson St,This stop is on SE 34th Ave & East of S Nelson St,35.17860602,-101.805402,,,
rt31S19,S Grand St & SE 28th Ave,This stop is on S Grand St & South of SE 28th Ave,35.1841339,-101.7952777,,,
rt31S20,S Grand St & SE 25th Ave,This stop is on S Grand St & South of SE 25th Ave,35.187350,-101.795259,,,
I40SGrandSt,Interstate 40 & S Grand St (Walmart),This stop is on the access road of Interstate 40 & East of S Grand St in front of Walmart,35.192288,-101.792461,,,
rt31S22,S Bolton St & SE 16th Ave (Alley North of Motel 6),This stop is on S Bolton St & South of SE 16th Ave near the alley North of Motel 6,35.19418752,-101.786887,,,
rt31S23,SE 10th Ave & S Dallas St (RMI Church),This stop is on SE 10th Ave & East of S Dallas St in front of the RMI Church,35.20029187,-101.7915042,,,
rt31S24,SE 10th Ave & S Grand St (H&H Discount),This stop is on SE 10th Ave & East of S Grand St in the parking lot of H&H Discount,35.20029385,-101.7949889,,,
rt31S25,SE 10th Ave & S Highland St,This stop is on SE 10th Ave & East of S Highland St,35.20027118,-101.8032878,,,
rt31S26,SE 10th Ave & Browning St,This stop is on SE 10th Ave & East of Browning St,35.20027407,-101.8070499,,,
rt31S27,SE 10th Ave & Ross St,This stop is on SE 10th Ave & East of Ross St,35.20067614,-101.8155545,,,
rt31S28,SE 10th Ave & S Cleveland St,This stop is on SE 10th Ave & East of S Cleveland St,35.20178401,-101.8239078,,,
rt31S29,SE 10th Ave & S Lincoln St,This stop is on SE 10th Ave & East of S Lincoln St,35.20275248,-101.8312266,,,
SBuchananStSE9thAve,S Buchanan St & SE 9th Ave (Post Office),This stop is on S Buchanan St & North of SE 9th Ave in front of the Post Office,35.204265,-101.832450,,,
SE3rdAveSJohnsonStSW,SE 3rd Ave & S Johnson St,This stop is on SE 3rd Ave & West of S Johnson St,35.20969744,-101.8290707,,,
rt32S3,SE 3rd Ave & S Arthur St,This stop is on SE 3rd Ave & East of S Arthur St,35.20891499,-101.8233423,,,
rt32S4,Ross St & SE 4th Ave,This stop is on Ross St & South of SE 4th Ave,35.206591,-101.814980,,,
rt32S5,Ross St & SE 10th Ave,This stop is on Ross St & North of SE 10th Ave,35.20085219,-101.8161316,,,
rt32S6,Ross St & SE 14th Ave (Across from Flee Market),This stop is on Ross St & South of SE 14th Ave across from Flea Market,35.19620081,-101.8170433,,,
rt32S7,Ross Osage Dr & Ross St (Post Office),This stop is on Ross Osage Dr & South of Ross St in front of the Post Office,35.18904638,-101.8156941,,,
rt32S8,Osage St & SE 27th Ave,This stop is on Osage St & North of SE 27th Ave,35.18620808,-101.8133713,,,
rt32S9,Osage St & SE 28th Ave,This stop is Osage St & South of SE 28th Ave,35.183882,-101.813328,,,
rt32S10,SE 34th Ave & S Osage St (Walmart),This stop is on SE 34th Ave & S West of Osage St in front of Walmart,35.17856707,-101.8146401,,,
rt32S11,SE 27th Ave & S Cleveland St,This stop is on SE 27th Ave & East of S Cleveland St,35.18501975,-101.8252012,,,
rt32S12,Ross Osage Dr & Pine St (Sams Club),This stop is on Ross Osage Dr & North of Pine St in front of Sams Club,35.18877008,-101.8149513,,,
rt32S13,Ross St & SE 14th Ave (Flee Market),This stop is on Ross St & South of SE 14th Ave in front of the Flea Market,35.19632521,-101.8167692,,,
rt32S14,Ross St & SE 8th Ave,This stop is on Ross St & South of SE 8th Ave,35.20243776,-101.8155276,,,
rt32S15,SE 3rd Ave & S Aldredge St,This stop is on SE 3rd Ave & East of S Aldredge St,35.20803726,-101.815556,,,
rt32S16,SE 3rd Ave & S Arthur St,This stop is on SE 3rd Ave & East of S Arthur St,35.209108,-101.823323,,,
SE3rdAveSJohnsonStNW,SE 3rd Ave & S Johnson St,This stop is on SE 3rd Ave & West of S Johnson St,35.20985577,-101.829142,,,
rt33S3,S Arthur St & SE 6th Ave,This stop is on S Arthur St & South of SE 6th Ave,35.2058599,-101.8246012,,,
rt33S4,S Arthur St & SE 10th Ave (Fiesta Foods),This stop is on S Arthur St & South of SE 10th Ave in front of Fiesta Foods,35.201402,-101.825540,,,
ArthurSE21st,SE 21st Ave & S Arthur St,This stop is on SE 21st Ave & North of S Arthur St,35.1911016,-101.8269341,,,
TransitOffice,Transit Office,This stop is at the City of Amarillo Transit Office,35.18926516,-101.8303156,,,
ArthurSE22nd,SE 22nd Ave & S Arthur St,This stop is on S Arthur St & South of SE 22nd Ave,35.18992385,-101.826739,,,
rt33S8,2508 E Interstate 40 (Camelot Motel),This stop is on the access road of Interstate 40 in front of the Camelot Motel,35.19289037,-101.8079403,,,
rt33S9,Interstate 40 S Seminole St (EZPawn),This stop is on the access road of Interstate 40 East of S Seminole St and South of the EZPawn,35.19292006,-101.7991132,,,
rt33S11,Interstate 40 & S Eastern St,This stop is on the access road of Interstate 40 & West of S Eastern St,35.19217647,-101.7791569,,,
