service_id,date,exception_type
53101,20200303,1
53101,20200302,1
53101,20200312,1
53101,20200313,1
53101,20200306,1
53101,20200305,1
53101,20200304,1
53101,20200318,1
53101,20200319,1
53101,20200309,1
53101,20200317,1
53101,20200316,1
53101,20200310,1
53101,20200320,1
5_merged_1252245,20200525,1
